group,method,n,withdrawal_auroc,withdrawal_pr_auc,error_auroc,error_pr_auc,mean_error_rate
children,kde_meta_lr_logratio,180,0.7800841134174468,0.6160850296379128,0.3146033653846154,0.6464268546348797,0.6777777777777778
children,kde_meta_lr_signed,180,0.7456247456247456,0.6114916311106127,0.3565204326923077,0.6773764244185635,0.6777777777777778
children,kde_signed_mean,180,0.608058608058608,0.5013386553046152,0.42578125,0.6681191031026106,0.6777777777777778
children,kde_signed_top5_net,180,0.48962148962148966,0.3922566184419686,0.5127704326923077,0.7418956026068432,0.6777777777777778
children,kde_weighted_abs,180,0.4200244200244201,0.3454268906945842,0.6307091346153846,0.8038799882615347,0.6777777777777778
children,kde_weighted_logratio,180,0.7864604531271197,0.6429707777645759,0.3131009615384615,0.6481278413098384,0.6777777777777778
children,kde_weighted_signed,180,0.5231311897978566,0.43926585905497906,0.4971454326923077,0.6987121190253929,0.6777777777777778
teens,kde_abs_max,217,0.5214172917489144,0.3882793881034524,0.574642126789366,0.7727515742977249,0.7211981566820277
teens,kde_abs_mean,217,0.42232530596131074,0.26961165747235283,0.6674619404680754,0.8453702346952143,0.7211981566820277
teens,kde_abs_median,217,0.42735886300829057,0.2624913824588083,0.6467848216314473,0.8632538525543326,0.7211981566820277
teens,kde_abs_top10_mean,217,0.4635807343071457,0.3494947118553078,0.6226993865030673,0.7924985822350122,0.7211981566820277
teens,kde_abs_top3_mean,217,0.5075009869719701,0.3963257971863966,0.5891842763008407,0.7692017759775885,0.7211981566820277
teens,kde_abs_top5_mean,217,0.49427556257402283,0.37687689487867987,0.5988411724608043,0.7733861209688216,0.7211981566820277
teens,kde_logratio_mean,217,0.7696407422029214,0.6010810542764261,0.3335605544194501,0.6794997080535867,0.7211981566820277
teens,kde_logratio_sum,217,0.7696407422029214,0.6010810542764261,0.3335605544194501,0.6794997080535867,0.7211981566820277
teens,kde_logratio_top5_net,217,0.7318890643505724,0.5806959675799689,0.376562144967053,0.6939481152757425,0.7211981566820277
teens,kde_meta_lr_logratio,217,0.7204895380971181,0.5314683649521021,0.36912065439672803,0.6917498206651082,0.7211981566820277
teens,kde_meta_lr_signed,217,0.7368732727990526,0.5452003265914661,0.3510565780504431,0.6804805588068301,0.7211981566820277
teens,kde_signed_mean,217,0.7196012633241214,0.6136185432130967,0.39002499431947285,0.6970793432948945,0.7211981566820277
teens,kde_signed_top5_net,217,0.5908014212396369,0.4620120170714489,0.4964780731651897,0.7408020470021409,0.7211981566820277
teens,kde_weighted_abs,217,0.4054480852743782,0.2643522260480286,0.6808679845489661,0.8474302024843061,0.7211981566820277
teens,kde_weighted_logratio,217,0.782767469403869,0.6286522384087572,0.31958645762326743,0.6864535260349767,0.7211981566820277
teens,kde_weighted_signed,217,0.7523687327279905,0.636728435446013,0.35480572597137017,0.6794054217443247,0.7211981566820277
