group,feature,n_participants,mean_signed_interval,mean_abs_interval,mean_logratio,withdrawal_direction_consistency,top10_frequency,logratio_auroc,logratio_pr_auc,abs_interval_auroc
children,CSES_TS,180,0.02673118894957212,0.5047540235624373,-0.6819323605505869,0.4444444444444444,0.4388888888888889,0.7740469407136074,0.653859138334338,0.5062406729073395
children,CSQ_FAN,180,-0.09099436055178764,0.418842251954033,-0.8247040244858835,0.7333333333333333,0.24166666666666667,0.5676299009632342,0.379835327215816,0.40082756749423426
children,CSQ_HS,180,0.19381232317720334,0.6176903045405954,-0.8098824913433365,0.4,0.5277777777777778,0.6316646316646316,0.4075844961405801,0.3877357210690544
children,CSQ_PS,180,0.21403225313305982,0.6011073128194107,-0.5174415348778741,0.3611111111111111,0.5527777777777778,0.7030253696920363,0.515811556023526,0.40951024284357623
children,CSQ_RAT,180,0.10941279812515463,0.39987543087814614,-0.18683891029608096,0.4222222222222222,0.18333333333333332,0.44071360738027404,0.3361674762987268,0.5489757156423823
children,CSQ_REP,180,0.015227929251190039,0.388079345752007,-0.09070821667279275,0.6333333333333333,0.15555555555555556,0.6514719848053182,0.4526890103054002,0.46018179351512684
children,CSQ_SB,180,-0.19327520563002368,0.5306730130230222,-2.745507212269452,0.5833333333333334,0.5,0.6459096459096458,0.44993750791856324,0.3253968253968254
children,EMBU-F EW,180,0.0608752739502096,0.38930004154662184,-0.14747234283228533,0.5611111111111111,0.18611111111111112,0.5986975986975988,0.4007501830817099,0.48324514991181655
children,EMBU-F FS,180,-0.06890172151491938,0.34769797679791675,-0.19519993831017812,0.46111111111111114,0.11388888888888889,0.5524352191018858,0.38440661700616185,0.4164970831637499
children,EMBU-F OI,180,0.020748842867279797,0.3867105911091829,-0.011311929335953902,0.34444444444444444,0.20555555555555555,0.5931352598019264,0.46760343361510015,0.5810609143942478
children,EMBU-F OP,180,-0.10891181352950476,0.48608138646365184,-0.16934898994939573,0.3,0.3611111111111111,0.648419481752815,0.5199707659579611,0.5218423551756886
children,EMBU-F PUN,180,-0.08167051330511553,0.42495407281468955,-0.22482281515331573,0.3888888888888889,0.20555555555555555,0.6147741147741148,0.4766017537292541,0.5177723511056844
children,EMBU-F REJ,180,-0.015801881247761555,0.40920684516519906,0.004760535622237606,0.3055555555555556,0.18888888888888888,0.6342423009089676,0.4641409057340753,0.5444308777642111
children,EMBU-M EW,180,-0.039455988806166686,0.5000746471890407,-0.12914803956557774,0.4722222222222222,0.3527777777777778,0.679622846289513,0.4885915950554452,0.5168226834893501
children,EMBU-M FS,180,-0.032048268764402484,0.35245436044771716,-0.14065692419429054,0.5055555555555555,0.14444444444444443,0.5421245421245422,0.39006377553928073,0.4170397503730837
children,EMBU-M OI,180,-0.21442589170942125,0.5495486673744117,-0.6378479864508398,0.2722222222222222,0.43333333333333335,0.6916293582960248,0.5088295522396011,0.4428164428164429
children,EMBU-M PUN,180,-0.351810441785669,0.6503565618966034,-0.306603406347332,0.2833333333333333,0.6388888888888888,0.7110297110297111,0.5399916987894917,0.3673857007190341
children,EMBU-M REJ,180,-0.1608196521410585,0.5854298108512995,-0.15190820447785522,0.32222222222222224,0.5083333333333333,0.6970560303893637,0.5522013782805897,0.4978971645638312
children,HEI_TS,180,-0.07268592695947726,0.2567330871884038,-1.3912677276477745,0.38333333333333336,0.013888888888888888,0.7687559354226023,0.603565567288944,0.4544159544159544
teens,A-DES-Ⅱ_AII,217,-0.14938102848399842,0.526092956507621,-0.8586000268345557,0.31336405529953915,0.3686635944700461,0.6778030003947888,0.49387972149972426,0.5189992104224239
teens,A-DES-Ⅱ_DA,217,-0.20236087520650983,0.5142987422061226,-1.3570254537830573,0.3225806451612903,0.3087557603686636,0.7352941176470588,0.5658274819185719,0.4979273588630083
teens,A-DES-Ⅱ_DPDR,217,-0.14791873638593434,0.39712338663334507,-1.0900109396862359,0.3225806451612903,0.17972350230414746,0.7328760363205685,0.5408305226883583,0.4631365969206474
teens,A-DES-Ⅱ_PI,217,-0.19274142826662452,0.46371395030629287,-1.2350787445513502,0.31336405529953915,0.25806451612903225,0.773243189893407,0.5972597099638892,0.443002368732728
teens,A-DES-Ⅱ_TS,217,-0.17102087697552934,0.48836144581465196,-1.1403060912588583,0.2903225806451613,0.31336405529953915,0.7300138176075799,0.5548716007636145,0.473006316620608
teens,A-SSRS_OS,217,0.2670163553766185,0.6218009469260283,-1.2988339444657404,0.35023041474654376,0.5046082949308756,0.7146664034741412,0.5428502853361067,0.43130675088827475
teens,A-SSRS_SS,217,0.16108554489007681,0.5138839771152562,-0.5337026857858982,0.3824884792626728,0.3387096774193548,0.7060797473351756,0.5062596847171873,0.4766087643110936
teens,A-SSRS_SU,217,0.2290079936043689,0.539242302512766,-1.1081494892199153,0.4009216589861751,0.3640552995391705,0.7033162258191867,0.4576813259861972,0.39242005527043033
teens,A-SSRS_TS,217,0.2230753625084402,0.577700464688459,-1.5414073640153474,0.3456221198156682,0.43548387096774194,0.7426470588235294,0.5374995510326668,0.4444334780892223
teens,CSES_TS,217,0.161923035789736,0.41824824088019724,-2.675261954483927,0.3686635944700461,0.2119815668202765,0.7973253059613107,0.6153019738817378,0.3828464271614686
teens,CSQ_FAN,217,-0.09409104607120576,0.38623151013432955,-0.13563566001326177,0.4976958525345622,0.16820276497695852,0.6281583103039873,0.3976234107879349,0.44379194630872487
teens,CSQ_HS,217,0.28761143975358355,0.5236118730043481,-0.47841963356296374,0.31336405529953915,0.2995391705069124,0.6865870509277536,0.4282533046019603,0.36443939992104224
teens,CSQ_PS,217,0.27993536320454515,0.5622404032400803,-0.5257087529849006,0.3456221198156682,0.41705069124423966,0.6623568890643506,0.46989554998205857,0.41704500592183186
teens,CSQ_RAT,217,-0.02582664009385437,0.40114488029995815,-0.07453947506319046,0.423963133640553,0.16820276497695852,0.5483616265298066,0.377992788109899,0.4851954204500592
teens,CSQ_REP,217,-0.09890841731432556,0.4362640468556554,-0.4899537808426359,0.5483870967741935,0.18663594470046083,0.6246545598105013,0.3985558810807275,0.3932096328464272
teens,CSQ_SB,217,-0.2545598730577241,0.5470853679568985,-1.9332417841181224,0.45622119815668205,0.38018433179723504,0.6818495854717725,0.45785222813734794,0.34593367548361625
teens,EMBU-F EW,217,0.11528843948487355,0.50472966535459,-0.5785703637794241,0.43317972350230416,0.2695852534562212,0.6824417686537703,0.4207305171210471,0.35999802605605996
teens,EMBU-F FS,217,-0.09235840666004101,0.41977847261394574,-0.209565526828965,0.4055299539170507,0.1359447004608295,0.4750296091590999,0.29653823013163394,0.5067114093959731
teens,EMBU-F OI,217,-0.2188822042840936,0.5054981791991128,-0.26911644512350247,0.37327188940092165,0.3271889400921659,0.6573233320173706,0.4632775424893832,0.4594354520331622
teens,EMBU-F OP,217,-0.14911362601781203,0.5794762641432183,-0.2980693647788787,0.47465437788018433,0.31105990783410137,0.5829056454796684,0.36754464493940886,0.4041650217133833
teens,EMBU-F PUN,217,-0.1573486633662404,0.4292307344374767,-0.14452917245881886,0.39631336405529954,0.16589861751152074,0.6349190682984603,0.42238305034959467,0.44907224634820375
teens,EMBU-F REJ,217,-0.13930258530996706,0.5209291006809507,-0.29072141640442745,0.391705069124424,0.23271889400921658,0.6282076589024871,0.39356330664749806,0.38521515988945915
teens,EMBU-M EW,217,-0.029603812069759514,0.38895868740749534,-0.15185820065847633,0.48847926267281105,0.1313364055299539,0.6281583103039874,0.401987737417038,0.46570272404263724
