group,model,feature_set,fold,best_inner_auc,best_params
adults,RF,full,11,0.7978394286635538,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,12,0.74540323430747,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,13,0.7877750223226743,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,14,0.8044673251855573,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,15,0.7676144502111354,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,16,0.7893294516683098,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,17,0.7796269168046331,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,18,0.8164308834198337,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,19,0.7868568279479882,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,20,0.7754475192378046,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,RF,full,21,0.7865077261255898,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,22,0.8135258353950802,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,23,0.7647922596127016,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,24,0.8095579412913668,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,25,0.7739995488959578,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,26,0.7972888026985632,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,27,0.8150952240328392,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,RF,full,28,0.8017153579998885,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,29,0.776712218873821,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,30,0.7700075106497758,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,31,0.7835140656100602,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,32,0.8162202906908247,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,33,0.777404570567554,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,34,0.8120849377755456,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,35,0.7888747240669431,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,36,0.8025857678999944,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,37,0.7841892683743512,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,38,0.7904319437468609,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,39,0.7796054467325186,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,40,0.7994709216164096,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,41,0.7994761341158672,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,RF,full,42,0.8048777174755536,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,43,0.7910405854121324,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,44,0.8048004213404766,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,RF,full,45,0.7560355511840319,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,46,0.7859664787841583,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,47,0.7903609839958827,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,48,0.7870957503208884,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,49,0.7996365589597634,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,SVM,full,0,0.8238602259550695,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,1,0.7524806846860255,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,2,0.7728633402781653,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,3,0.75980104916569,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,4,0.7764087700206486,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,5,0.7581916851138767,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,6,0.7963881835543898,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,7,0.7709692071110119,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,8,0.7765500306936771,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,9,0.7700415759808026,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,10,0.7876578089055069,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,11,0.7634084863366631,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,12,0.7523166362830267,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,13,0.7798025140911881,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,14,0.7920346420001115,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,15,0.7652126699778634,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,16,0.7820390057728916,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,17,0.7811000582869827,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,18,0.7806396143758022,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,19,0.763527889391149,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,20,0.7837410321756546,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,21,0.78058268380552,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,22,0.7891417629331995,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,23,0.7632349042915342,"{""clf__C"": 2.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,24,0.7906760979965398,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,25,0.7759880496183443,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,26,0.7841642328750985,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,27,0.7827298072809122,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,28,0.7919265165466823,"{""clf__C"": 2.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,29,0.7543285060550252,"{""clf__C"": 2.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,30,0.7406733464169007,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,31,0.7652139101264331,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,32,0.8121137712297933,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,33,0.7670681260114963,"{""clf__C"": 2.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,34,0.7822353367933479,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,35,0.7925134556119824,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,36,0.7906789270854647,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,37,0.7747229430585785,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,38,0.757697834700597,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
