group,feature,withdrawal_n,reentry_n,withdrawal_minus_reentry_mean,mean_difference_ci95_low,mean_difference_ci95_high,welch_t,welch_p,cohen_d,bh_fdr_p,bh_fdr_reject_0_05
adults,SSRS_OS,122,678,-2.009816722278641,-2.611242408258727,-1.4083910362985552,-6.593308696264169,4.46068700099216e-10,-0.5901488894114225,8.177926168485626e-10,True
adults,SSRS_SU,122,678,-1.4613859470960886,-1.8722680947722496,-1.0505037994199276,-7.020772760307213,4.9914395883283656e-11,-0.6752958769899544,1.0458254375545146e-10,True
adults,DES-Ⅱ_ABS,122,678,14.535277334493928,10.01891155703018,19.051643111957677,6.363696229191382,2.710025396559373e-09,0.8659650635985552,4.586196824946632e-09,True
adults,DES-Ⅱ_AMN,122,678,12.877012911649501,8.801125345684063,16.95290047761494,6.246062727601373,4.724632214635404e-09,0.8182385335110995,7.69940064607251e-09,True
adults,DES-Ⅱ_DPDR,122,678,12.325507358511851,8.570914082583483,16.08010063444022,6.492650249427435,1.5049405904173907e-09,0.948487976239014,2.6486954391346075e-09,True
adults,DES-Ⅱ_TS,122,678,13.859686845868476,9.986711100677693,17.73266259105926,7.077172540124437,7.223237227788491e-11,1.0128981611137766,1.4446474455576982e-10,True
teens,Gender,68,149,-0.03237268061587051,-0.16371459799472518,0.09896923676298416,-0.4877964442613886,0.6265465651687201,-0.07246373131970424,0.6265465651687201,False
teens,Age,68,149,-0.34810501381760695,-0.6639880462985752,-0.032221981336638617,-2.178732058904059,0.031025639461845916,-0.3093363256923069,0.03490384439457665,True
teens,SCL-90 SOM,68,149,0.8344107777339116,0.5771411379586793,1.091680417509144,6.442928524242641,5.548307141057216e-09,1.1213184131125602,1.6644921423171648e-08,True
teens,SCL-90 OC,68,149,0.8174200552704298,0.5392182409394425,1.095621869601417,5.8246129834368725,6.076470934621473e-08,0.9280918135778334,1.3021009145617442e-07,True
teens,SCL-90 IS,68,149,0.9617712856954865,0.6731079434389438,1.2504346279520293,6.610964135066007,1.9445470590332658e-09,1.0951281612518868,6.731124435115151e-09,True
teens,SCL-90 DEP,68,149,1.0757083421907743,0.7666771118819009,1.3847395724996476,6.903651303897174,4.2835038013040007e-10,1.1219750056585591,2.262891781839696e-09,True
teens,SCL-90 ANX,68,149,1.0446111330438208,0.7508042747271222,1.3384179913605194,7.056063055925378,2.505280549719176e-10,1.1785205508783383,2.262891781839696e-09,True
teens,SCL-90 HOS,68,149,0.9572641136991709,0.653135457156278,1.2613927702420638,6.243415349829579,1.0010711711506812e-08,1.0206709361913466,2.6498942765753326e-08,True
teens,SCL-90 PHOB,68,149,0.7960492922001019,0.5124395043513934,1.0796590800488104,5.576318618156376,2.550127950273042e-07,0.9740228544610312,4.989380772273343e-07,True
teens,SCL-90 PAR,68,149,0.8202559547308852,0.5520832496042496,1.0884286598575208,6.0673871174818945,2.2669003530182033e-08,0.9937223574725103,5.100525794290957e-08,True
