group,method,metric,n_outer_folds,mean,sd,bootstrap_ci_low,bootstrap_ci_high,n_boot
children,kde_abs_top5_mean,error_pr_auc,10,0.7533637011487605,0.053913776027144394,0.7222330498948043,0.7856295104627027,2000
children,kde_abs_top5_mean,withdrawal_auroc,10,0.4424203363062059,0.10556711801163933,0.3811971328037904,0.5041328734671127,2000
children,kde_abs_top5_mean,withdrawal_pr_auc,10,0.4160104585314344,0.10237733126134489,0.3619286770687354,0.4818792049365703,2000
children,kde_logratio_mean,error_auroc,10,0.27445466447579975,0.055427895879620916,0.2429212220644134,0.30839381955548917,2000
children,kde_logratio_mean,error_pr_auc,10,0.5970982188468537,0.05157137250544744,0.5665600419014531,0.6259423206805658,2000
children,kde_logratio_mean,withdrawal_auroc,10,0.7843192586399108,0.05663589563647127,0.7520076760497955,0.820877490942029,2000
children,kde_logratio_mean,withdrawal_pr_auc,10,0.6510677079433886,0.07482280361412579,0.6078754107894081,0.6952987230895717,2000
children,kde_logratio_sum,error_auroc,10,0.27445466447579975,0.055427895879620916,0.2436615691200685,0.3064354454874834,2000
children,kde_logratio_sum,error_pr_auc,10,0.5970982188468537,0.05157137250544744,0.5668679384228462,0.6264814064876598,2000
children,kde_logratio_sum,withdrawal_auroc,10,0.7843192586399108,0.05663589563647127,0.7522538960888145,0.818394764957265,2000
children,kde_logratio_sum,withdrawal_pr_auc,10,0.6510677079433886,0.07482280361412579,0.6071649003756106,0.694491792039736,2000
children,kde_logratio_top5_net,error_auroc,10,0.2850644346818863,0.050984107404581806,0.2564097485621262,0.31680055007643315,2000
children,kde_logratio_top5_net,error_pr_auc,10,0.6016575114029301,0.058253421088619764,0.5697588906139295,0.6375691770985047,2000
children,kde_logratio_top5_net,withdrawal_auroc,10,0.7771042363433669,0.055907735140906745,0.7458124883872166,0.8113192267047566,2000
children,kde_logratio_top5_net,withdrawal_pr_auc,10,0.6464559790345243,0.08090028092211929,0.6000170819939612,0.6953798367081799,2000
children,kde_meta_lr_logratio,error_auroc,10,0.2746614877562945,0.06483173961543286,0.23556990226181046,0.31178412619318413,2000
children,kde_meta_lr_logratio,error_pr_auc,10,0.6130620562932069,0.07362199289699185,0.5711229577195706,0.6554322809047582,2000
children,kde_meta_lr_logratio,withdrawal_auroc,10,0.7713675213675214,0.08264431634665026,0.7231736285302862,0.8184329710144927,2000
children,kde_meta_lr_logratio,withdrawal_pr_auc,10,0.6443882427180236,0.12599090476467822,0.5705199884410564,0.718472345102647,2000
children,kde_meta_lr_signed,error_auroc,10,0.3129919722431799,0.11267526144828723,0.24714258639910813,0.3822567507729343,2000
children,kde_meta_lr_signed,error_pr_auc,10,0.6203293203843537,0.0810924400962502,0.5765684118766251,0.6702543900511123,2000
children,kde_meta_lr_signed,withdrawal_auroc,10,0.7517140468227426,0.09261934476848985,0.6985074089557786,0.8048182018766259,2000
children,kde_meta_lr_signed,withdrawal_pr_auc,10,0.6427050892690429,0.10912575279937312,0.5798067408194099,0.7062262037410201,2000
children,kde_signed_mean,error_auroc,10,0.4114339477395033,0.06897575992826045,0.37271271340151163,0.4507004699540931,2000
children,kde_signed_mean,error_pr_auc,10,0.6561083502681336,0.05757241817698966,0.6225688095828815,0.6899539601583307,2000
children,kde_signed_mean,withdrawal_auroc,10,0.6057483277591972,0.14126745199849536,0.5190801804626533,0.6877452619843922,2000
children,kde_signed_mean,withdrawal_pr_auc,10,0.5249968292566959,0.12307590792901421,0.4513111188774976,0.6016399714261972,2000
children,kde_signed_top5_net,error_auroc,10,0.5007261575872686,0.09692093871156517,0.4445052226714062,0.5569490352944159,2000
children,kde_signed_top5_net,error_pr_auc,10,0.7205640238390129,0.0577629787734146,0.6884163232509781,0.7561152449580081,2000
children,kde_signed_top5_net,withdrawal_auroc,10,0.488240895577852,0.12720444025614874,0.41017459819769597,0.559171892419175,2000
